brand,address,description,founding_year,num_of_products
K.P. Namboodiris,Address for K.P. Namboodiris,Description for K.P. Namboodiris,1911,53
Tulips,Address for Tulips,Description for Tulips,1996,17
Safal,Address for Safal,Description for Safal,1997,37
Aachi,Address for Aachi,Description for Aachi,1911,97
Chandrika ,Address for Chandrika ,Description for Chandrika ,1982,85
Faultless,Address for Faultless,Description for Faultless,1933,58
Steel Lock,Address for Steel Lock,Description for Steel Lock,1923,81
Urban Platter,Address for Urban Platter,Description for Urban Platter,1909,92
Bombay Shaving Company,Address for Bombay Shaving Company,Description for Bombay Shaving Company,1979,66
Princeware,Address for Princeware,Description for Princeware,1966,5
Vlcc,Address for Vlcc,Description for Vlcc,1997,27
Typhoo,Address for Typhoo,Description for Typhoo,1975,29
Habit,Address for Habit,Description for Habit,2001,76
MTR,Address for MTR,Description for MTR,2010,99
Soft Touch,Address for Soft Touch,Description for Soft Touch,1927,99
Aroma Magic ,Address for Aroma Magic ,Description for Aroma Magic ,1994,39
Dabur Vatika,Address for Dabur Vatika,Description for Dabur Vatika,1949,77
Schwarzkopf Professional,Address for Schwarzkopf Professional,Description for Schwarzkopf Professional,1992,51
Yoga bar,Address for Yoga bar,Description for Yoga bar,1935,76
Kaya Youth,Address for Kaya Youth,Description for Kaya Youth,1963,51
Prakrta,Address for Prakrta,Description for Prakrta,1938,83
24 Mantra,Address for 24 Mantra,Description for 24 Mantra,1992,18
Schar,Address for Schar,Description for Schar,1991,25
Wild Ideas,Address for Wild Ideas,Description for Wild Ideas,2015,36
MyGlamm,Address for MyGlamm,Description for MyGlamm,2013,87
Puramate,Address for Puramate,Description for Puramate,1903,48
Tetley,Address for Tetley,Description for Tetley,1991,4
Liao,Address for Liao,Description for Liao,1984,90
RiteBite Max Protein,Address for RiteBite Max Protein,Description for RiteBite Max Protein,1945,27
Jensons,Address for Jensons,Description for Jensons,1975,52
Prestige,Address for Prestige,Description for Prestige,1957,58
Makino,Address for Makino,Description for Makino,1956,60
Veet,Address for Veet,Description for Veet,1944,27
Jergens,Address for Jergens,Description for Jergens,1955,33
Joyo Steel,Address for Joyo Steel,Description for Joyo Steel,1936,58
B Vishal,Address for B Vishal,Description for B Vishal,1994,96
BIC Cello,Address for BIC Cello,Description for BIC Cello,1926,36
PureCult,Address for PureCult,Description for PureCult,1945,53
Morpheme Remedies,Address for Morpheme Remedies,Description for Morpheme Remedies,1942,8
Sln  ,Address for Sln  ,Description for Sln  ,1974,54
Dhatu Organics & Naturals,Address for Dhatu Organics & Naturals,Description for Dhatu Organics & Naturals,1929,75
Sensodyne,Address for Sensodyne,Description for Sensodyne,1906,78
Floroma,Address for Floroma,Description for Floroma,1942,45
Octus,Address for Octus,Description for Octus,1957,19
Turn Organic ,Address for Turn Organic ,Description for Turn Organic ,1979,74
Skinn by Titan,Address for Skinn by Titan,Description for Skinn by Titan,1977,32
By Nature,Address for By Nature,Description for By Nature,2006,45
Gits,Address for Gits,Description for Gits,1970,94
Yardley London,Address for Yardley London,Description for Yardley London,1975,30
Mdh,Address for Mdh,Description for Mdh,1948,26
Herbal Essence,Address for Herbal Essence,Description for Herbal Essence,1902,94
The Gourmet Jar,Address for The Gourmet Jar,Description for The Gourmet Jar,1965,19
Dabur,Address for Dabur,Description for Dabur,2000,22
Fortune ,Address for Fortune ,Description for Fortune ,1901,83
Patanjali,Address for Patanjali,Description for Patanjali,1985,4
Skore,Address for Skore,Description for Skore,1931,16
Lotus Herbals,Address for Lotus Herbals,Description for Lotus Herbals,1983,21
Pampers ,Address for Pampers ,Description for Pampers ,1951,82
Complan,Address for Complan,Description for Complan,2010,63
Munchys,Address for Munchys,Description for Munchys,2013,76
Dove,Address for Dove,Description for Dove,1925,27
Keya,Address for Keya,Description for Keya,2006,3
Soyfit,Address for Soyfit,Description for Soyfit,1907,26
Prasukh,Address for Prasukh,Description for Prasukh,1959,7
Bechef,Address for Bechef,Description for Bechef,1961,2
SSS,Address for SSS,Description for SSS,1928,36
Pidilite,Address for Pidilite,Description for Pidilite,1904,99
Jacques Bogart,Address for Jacques Bogart,Description for Jacques Bogart,2015,60
Gala,Address for Gala,Description for Gala,1994,66
Milky Mist,Address for Milky Mist,Description for Milky Mist,1952,23
MeraKisan,Address for MeraKisan,Description for MeraKisan,1962,45
Kitchens Of India,Address for Kitchens Of India,Description for Kitchens Of India,1960,60
Ratan,Address for Ratan,Description for Ratan,2003,34
As Chefs Cook,Address for As Chefs Cook,Description for As Chefs Cook,1948,98
Kittos,Address for Kittos,Description for Kittos,1940,92
Top Ramen ,Address for Top Ramen ,Description for Top Ramen ,1907,45
Blue Dragon,Address for Blue Dragon,Description for Blue Dragon,2011,70
Bikaji,Address for Bikaji,Description for Bikaji,1938,84
Fackelmann,Address for Fackelmann,Description for Fackelmann,1979,70
BB Home,Address for BB Home,Description for BB Home,1923,72
Moov,Address for Moov,Description for Moov,1974,16
Pigeon Baby,Address for Pigeon Baby,Description for Pigeon Baby,2007,71
MISHT,Address for MISHT,Description for MISHT,1926,52
Kuxuna,Address for Kuxuna,Description for Kuxuna,1911,15
Weikfield,Address for Weikfield,Description for Weikfield,1928,65
Everyuth Naturals,Address for Everyuth Naturals,Description for Everyuth Naturals,1920,61
Wild Stone,Address for Wild Stone,Description for Wild Stone,2018,15
Samyang,Address for Samyang,Description for Samyang,1932,91
Closeup,Address for Closeup,Description for Closeup,1987,1
Schwarzkopf,Address for Schwarzkopf,Description for Schwarzkopf,1994,7
Johnson's baby,Address for Johnson's baby,Description for Johnson's baby,1984,45
It's Skin,Address for It's Skin,Description for It's Skin,1949,27
sumeru,Address for sumeru,Description for sumeru,2013,90
Comfort,Address for Comfort,Description for Comfort,1930,1
Veeba,Address for Veeba,Description for Veeba,1948,94
Reliance Plast,Address for Reliance Plast,Description for Reliance Plast,1900,65
Richfeel,Address for Richfeel,Description for Richfeel,2019,50
Nirlon,Address for Nirlon,Description for Nirlon,1920,50
T BASE,Address for T BASE,Description for T BASE,1994,67
Skin Cottage ,Address for Skin Cottage ,Description for Skin Cottage ,1933,45
Milton - Spotzero,Address for Milton - Spotzero,Description for Milton - Spotzero,2005,91
Maple Joe,Address for Maple Joe,Description for Maple Joe,1979,88
Krosno - Europe,Address for Krosno - Europe,Description for Krosno - Europe,1907,80
Laplast,Address for Laplast,Description for Laplast,1968,26
Iveo ,Address for Iveo ,Description for Iveo ,1938,74
Sprig Tea,Address for Sprig Tea,Description for Sprig Tea,1921,74
Unibic,Address for Unibic,Description for Unibic,1907,87
Batter Box,Address for Batter Box,Description for Batter Box,1974,88
Knorr,Address for Knorr,Description for Knorr,1988,2
USTRAA,Address for USTRAA,Description for USTRAA,1937,58
Badshah,Address for Badshah,Description for Badshah,1948,50
Whisper ,Address for Whisper ,Description for Whisper ,1945,28
Green Leaf,Address for Green Leaf,Description for Green Leaf,2011,49
Kantan,Address for Kantan,Description for Kantan,1991,9
Ariel ,Address for Ariel ,Description for Ariel ,1946,83
Raju's Cloth,Address for Raju's Cloth,Description for Raju's Cloth,1906,94
Sprig,Address for Sprig,Description for Sprig,1945,43
Health Sutra,Address for Health Sutra,Description for Health Sutra,1979,22
Nutty Yogi,Address for Nutty Yogi,Description for Nutty Yogi,1942,29
Beeta,Address for Beeta,Description for Beeta,2019,15
Ajmal,Address for Ajmal,Description for Ajmal,1989,20
Kelloggs,Address for Kelloggs,Description for Kelloggs,1927,32
Colavita,Address for Colavita,Description for Colavita,1947,88
Peebuddy,Address for Peebuddy,Description for Peebuddy,1991,39
Signoraware,Address for Signoraware,Description for Signoraware,1930,47
Good Home,Address for Good Home,Description for Good Home,1929,29
Remia,Address for Remia,Description for Remia,1913,12
Britannia,Address for Britannia,Description for Britannia,1979,49
Malabar Coast,Address for Malabar Coast,Description for Malabar Coast,1950,90
Ego of Paris,Address for Ego of Paris,Description for Ego of Paris,1939,32
Cartini,Address for Cartini,Description for Cartini,1968,62
Ponds,Address for Ponds,Description for Ponds,2021,83
Jus Amazin,Address for Jus Amazin,Description for Jus Amazin,1999,2
Air wick,Address for Air wick,Description for Air wick,2017,30
ITC Master Chef,Address for ITC Master Chef,Description for ITC Master Chef,1985,54
Malkist,Address for Malkist,Description for Malkist,1992,76
York,Address for York,Description for York,1917,10
Klassic,Address for Klassic,Description for Klassic,1963,59
Lacto Calamine,Address for Lacto Calamine,Description for Lacto Calamine,1987,8
ColorBar,Address for ColorBar,Description for ColorBar,1903,77
Shunya,Address for Shunya,Description for Shunya,1965,21
kwality walls,Address for kwality walls,Description for kwality walls,2000,76
Natureland Organics,Address for Natureland Organics,Description for Natureland Organics,1902,48
Ask Foods,Address for Ask Foods,Description for Ask Foods,1980,70
Skittles,Address for Skittles,Description for Skittles,1987,12
Palmolive,Address for Palmolive,Description for Palmolive,1903,60
18 Herbs,Address for 18 Herbs,Description for 18 Herbs,1963,85
Sebamed,Address for Sebamed,Description for Sebamed,1951,16
Bon & Bread,Address for Bon & Bread,Description for Bon & Bread,1974,78
Safewash,Address for Safewash,Description for Safewash,1957,8
LaOpala,Address for LaOpala,Description for LaOpala,2018,18
Organic Origins,Address for Organic Origins,Description for Organic Origins,1920,78
Lifebuoy,Address for Lifebuoy,Description for Lifebuoy,1943,22
Continental,Address for Continental,Description for Continental,1965,65
Fem,Address for Fem,Description for Fem,2007,46
McCain,Address for McCain,Description for McCain,1917,89
Horlicks,Address for Horlicks,Description for Horlicks,1941,63
Tex Mex Salsalito,Address for Tex Mex Salsalito,Description for Tex Mex Salsalito,1908,39
Buffet ,Address for Buffet ,Description for Buffet ,2004,60
Everest,Address for Everest,Description for Everest,1902,33
Panasonic,Address for Panasonic,Description for Panasonic,1973,55
Mama,Address for Mama,Description for Mama,1918,41
FarmVeda,Address for FarmVeda,Description for FarmVeda,1912,0
Ongs,Address for Ongs,Description for Ongs,1910,27
Tify,Address for Tify,Description for Tify,1911,41
XPEL,Address for XPEL,Description for XPEL,1915,98
Walkers,Address for Walkers,Description for Walkers,1999,82
Mamaearth,Address for Mamaearth,Description for Mamaearth,1956,43
Nescafe ,Address for Nescafe ,Description for Nescafe ,2014,21
Pure,Address for Pure,Description for Pure,1973,44
Embark,Address for Embark,Description for Embark,1963,8
Yummiez,Address for Yummiez,Description for Yummiez,1981,67
Paaka,Address for Paaka,Description for Paaka,1994,62
Sundrop,Address for Sundrop,Description for Sundrop,1945,33
Emperia,Address for Emperia,Description for Emperia,2020,66
Nirapara,Address for Nirapara,Description for Nirapara,2017,0
SDA PAPPADS,Address for SDA PAPPADS,Description for SDA PAPPADS,1945,98
MilkLane,Address for MilkLane,Description for MilkLane,1937,87
Bauli,Address for Bauli,Description for Bauli,1981,7
Braun,Address for Braun,Description for Braun,1928,14
FAST&UP,Address for FAST&UP,Description for FAST&UP,1926,19
Udupi Ruchi,Address for Udupi Ruchi,Description for Udupi Ruchi,1972,27
Mirabelle,Address for Mirabelle,Description for Mirabelle,2013,54
Fragata,Address for Fragata,Description for Fragata,1942,23
Open Secret,Address for Open Secret,Description for Open Secret,1958,13
Glow & Lovely,Address for Glow & Lovely,Description for Glow & Lovely,1917,77
Nimwash,Address for Nimwash,Description for Nimwash,1996,21
Close Up,Address for Close Up,Description for Close Up,1960,8
Go ,Address for Go ,Description for Go ,1911,8
Kitchen Essentials,Address for Kitchen Essentials,Description for Kitchen Essentials,1968,92
Set Wet Studio X,Address for Set Wet Studio X,Description for Set Wet Studio X,2017,14
Globus Naturals,Address for Globus Naturals,Description for Globus Naturals,1964,48
Dr. Oetker,Address for Dr. Oetker,Description for Dr. Oetker,1978,90
Clenz U,Address for Clenz U,Description for Clenz U,1956,40
&Stirred,Address for &Stirred,Description for &Stirred,1904,51
Deli Sun,Address for Deli Sun,Description for Deli Sun,1969,11
Wingreens Farms,Address for Wingreens Farms,Description for Wingreens Farms,1915,17
Elephant ,Address for Elephant ,Description for Elephant ,1932,84
Care,Address for Care,Description for Care,1921,21
Nyassa,Address for Nyassa,Description for Nyassa,1976,98
Cavins,Address for Cavins,Description for Cavins,1959,99
Frosch,Address for Frosch,Description for Frosch,1987,31
Revlon,Address for Revlon,Description for Revlon,2000,50
Comfy Snug Fit,Address for Comfy Snug Fit,Description for Comfy Snug Fit,2007,56
Protinex ,Address for Protinex ,Description for Protinex ,1973,23
Shankara,Address for Shankara,Description for Shankara,2019,48
TRESemme,Address for TRESemme,Description for TRESemme,2014,7
Hawkins,Address for Hawkins,Description for Hawkins,1937,39
Lux,Address for Lux,Description for Lux,1941,53
Baygon,Address for Baygon,Description for Baygon,1980,48
Organica,Address for Organica,Description for Organica,1973,4
Maxcare,Address for Maxcare,Description for Maxcare,1937,40
Cinthol,Address for Cinthol,Description for Cinthol,1955,24
REGENCY,Address for REGENCY,Description for REGENCY,1977,52
Bvlgari,Address for Bvlgari,Description for Bvlgari,1909,9
Mojo Bar,Address for Mojo Bar,Description for Mojo Bar,1951,69
NutraHi,Address for NutraHi,Description for NutraHi,1976,35
Shri & Sam,Address for Shri & Sam,Description for Shri & Sam,1917,87
VAHDAM,Address for VAHDAM,Description for VAHDAM,1928,22
Cadbury Fuse,Address for Cadbury Fuse,Description for Cadbury Fuse,1916,39
The Man Company,Address for The Man Company,Description for The Man Company,2016,38
Entree,Address for Entree,Description for Entree,1978,87
Vaseline,Address for Vaseline,Description for Vaseline,2017,72
Quaker,Address for Quaker,Description for Quaker,1977,72
Ravi,Address for Ravi,Description for Ravi,1971,39
Srushti Gold,Address for Srushti Gold,Description for Srushti Gold,1926,72
The Nibble Box,Address for The Nibble Box,Description for The Nibble Box,2019,43
Opex,Address for Opex,Description for Opex,1967,62
Serapheena,Address for Serapheena,Description for Serapheena,1959,51
Carolina Herrera ,Address for Carolina Herrera ,Description for Carolina Herrera ,1968,31
LetsShave,Address for LetsShave,Description for LetsShave,1961,47
Vega,Address for Vega,Description for Vega,1956,22
Police,Address for Police,Description for Police,1995,53
Lever Ayush,Address for Lever Ayush,Description for Lever Ayush,1962,82
Spinz,Address for Spinz,Description for Spinz,1987,29
Bella,Address for Bella,Description for Bella,1947,82
Nature's Pick ,Address for Nature's Pick ,Description for Nature's Pick ,2008,22
Wow Skin Science,Address for Wow Skin Science,Description for Wow Skin Science,2022,88
Cesar,Address for Cesar,Description for Cesar,1982,88
Max Health ,Address for Max Health ,Description for Max Health ,1946,46
Monsoon Harvest,Address for Monsoon Harvest,Description for Monsoon Harvest,1975,55
Adithya,Address for Adithya,Description for Adithya,1969,24
Playboy,Address for Playboy,Description for Playboy,1975,13
Mangaldeep,Address for Mangaldeep,Description for Mangaldeep,1950,68
Purepet,Address for Purepet,Description for Purepet,1984,56
Sangam Sweets,Address for Sangam Sweets,Description for Sangam Sweets,1914,68
Anatomicals,Address for Anatomicals,Description for Anatomicals,2007,80
Kesh King,Address for Kesh King,Description for Kesh King,1982,85
D-Alive,Address for D-Alive,Description for D-Alive,1998,14
Polyset,Address for Polyset,Description for Polyset,2020,89
Paw Paw,Address for Paw Paw,Description for Paw Paw,2016,87
Corelle,Address for Corelle,Description for Corelle,1966,22
Fini,Address for Fini,Description for Fini,1934,50
Balaji foods,Address for Balaji foods,Description for Balaji foods,2019,78
Sugarlite,Address for Sugarlite,Description for Sugarlite,1942,94
Parry's,Address for Parry's,Description for Parry's,1921,74
Grocery Farm,Address for Grocery Farm,Description for Grocery Farm,1966,35
HappyChef,Address for HappyChef,Description for HappyChef,1993,10
Oral-B,Address for Oral-B,Description for Oral-B,1916,45
Winkies,Address for Winkies,Description for Winkies,1995,20
Peacock ,Address for Peacock ,Description for Peacock ,1982,72
Amrutanjan,Address for Amrutanjan,Description for Amrutanjan,1912,49
The Whole Truth,Address for The Whole Truth,Description for The Whole Truth,1920,38
Jagdamba,Address for Jagdamba,Description for Jagdamba,1944,30
Prabhat,Address for Prabhat,Description for Prabhat,2022,87
Porna,Address for Porna,Description for Porna,1999,35
Man Arden,Address for Man Arden,Description for Man Arden,1973,5
Parachute Advansed,Address for Parachute Advansed,Description for Parachute Advansed,1934,28
e-millet,Address for e-millet,Description for e-millet,1944,94
KNM,Address for KNM,Description for KNM,1995,75
Paree Pariz,Address for Paree Pariz,Description for Paree Pariz,2015,36
Cartini by Godrej,Address for Cartini by Godrej,Description for Cartini by Godrej,1975,68
Savlon,Address for Savlon,Description for Savlon,1972,15
Jabsons,Address for Jabsons,Description for Jabsons,1933,71
Oxy Life,Address for Oxy Life,Description for Oxy Life,1914,63
Storia,Address for Storia,Description for Storia,1932,64
Twinings,Address for Twinings,Description for Twinings,1914,39
Biocare ,Address for Biocare ,Description for Biocare ,1986,85
Glass Ideas ,Address for Glass Ideas ,Description for Glass Ideas ,1903,7
Lotus Organics+,Address for Lotus Organics+,Description for Lotus Organics+,1947,87
Woh Hup,Address for Woh Hup,Description for Woh Hup,1908,73
Ela,Address for Ela,Description for Ela,1943,44
Ruchi magic,Address for Ruchi magic,Description for Ruchi magic,2007,52
Ravi Agencies,Address for Ravi Agencies,Description for Ravi Agencies,2005,89
Daadis ,Address for Daadis ,Description for Daadis ,1928,97
Niine,Address for Niine,Description for Niine,1935,39
Licious,Address for Licious,Description for Licious,1976,27
Vinayak,Address for Vinayak,Description for Vinayak,1961,90
Sterling,Address for Sterling,Description for Sterling,2014,79
Arya Organic,Address for Arya Organic,Description for Arya Organic,1981,2
Wonder,Address for Wonder,Description for Wonder,1996,9
Continent Spice Khadi,Address for Continent Spice Khadi,Description for Continent Spice Khadi,1972,45
Nippo,Address for Nippo,Description for Nippo,1980,38
Saaj,Address for Saaj,Description for Saaj,1937,78
Cadbury Temptations,Address for Cadbury Temptations,Description for Cadbury Temptations,1969,51
Verage,Address for Verage,Description for Verage,1995,42
Godya,Address for Godya,Description for Godya,1968,44
Kolan,Address for Kolan,Description for Kolan,1911,56
Bacto-V,Address for Bacto-V,Description for Bacto-V,2011,6
Snickers,Address for Snickers,Description for Snickers,1964,9
Streax,Address for Streax,Description for Streax,2019,58
BB Royal Organic,Address for BB Royal Organic,Description for BB Royal Organic,2020,27
Krazy Lines,Address for Krazy Lines,Description for Krazy Lines,1970,86
Nivea Men,Address for Nivea Men,Description for Nivea Men,1973,47
Yellow Spark,Address for Yellow Spark,Description for Yellow Spark,1905,21
Banjara's,Address for Banjara's,Description for Banjara's,1909,39
BHUIRA ,Address for BHUIRA ,Description for BHUIRA ,2021,87
Bharath Brand,Address for Bharath Brand,Description for Bharath Brand,1997,9
Chiko,Address for Chiko,Description for Chiko,1959,94
Akshara Herbals,Address for Akshara Herbals,Description for Akshara Herbals,2003,50
Ferrari ,Address for Ferrari ,Description for Ferrari ,1951,24
Mothers Recipe,Address for Mothers Recipe,Description for Mothers Recipe,1998,37
Wonderchef,Address for Wonderchef,Description for Wonderchef,1930,12
Dermi Cool,Address for Dermi Cool,Description for Dermi Cool,1970,61
WhyFryy,Address for WhyFryy,Description for WhyFryy,1959,65
Wrigleys,Address for Wrigleys,Description for Wrigleys,1921,56
Gatorade,Address for Gatorade,Description for Gatorade,2004,27
Ajax,Address for Ajax,Description for Ajax,1927,12
Jawai,Address for Jawai,Description for Jawai,1920,27
CCDS,Address for CCDS,Description for CCDS,1907,77
Aps Cosmetofood,Address for Aps Cosmetofood,Description for Aps Cosmetofood,1942,98
Mamypoko,Address for Mamypoko,Description for Mamypoko,1926,93
Berger BreatheEasy,Address for Berger BreatheEasy,Description for Berger BreatheEasy,1976,31
Bblunt,Address for Bblunt,Description for Bblunt,1908,48
Pahal,Address for Pahal,Description for Pahal,1985,59
JK,Address for JK,Description for JK,1966,35
Rexona,Address for Rexona,Description for Rexona,2000,86
Killi,Address for Killi,Description for Killi,1932,44
Schogetten,Address for Schogetten,Description for Schogetten,2004,25
Chocoliebe,Address for Chocoliebe,Description for Chocoliebe,1997,7
Asahikasei,Address for Asahikasei,Description for Asahikasei,1911,17
Rostaa,Address for Rostaa,Description for Rostaa,1976,36
Greenberry Organics,Address for Greenberry Organics,Description for Greenberry Organics,1968,78
Cycle,Address for Cycle,Description for Cycle,1907,73
Ezee Alka,Address for Ezee Alka,Description for Ezee Alka,1995,58
Boroplus,Address for Boroplus,Description for Boroplus,1981,40
Blue heaven,Address for Blue heaven,Description for Blue heaven,1949,79
Orbit,Address for Orbit,Description for Orbit,1915,83
Olicoop,Address for Olicoop,Description for Olicoop,2013,24
Yoo Yee,Address for Yoo Yee,Description for Yoo Yee,1959,17
Nourish Organics,Address for Nourish Organics,Description for Nourish Organics,1991,45
Herbal Hills,Address for Herbal Hills,Description for Herbal Hills,1960,32
Trident,Address for Trident,Description for Trident,1953,57
Gomutra,Address for Gomutra,Description for Gomutra,2004,42
Aveeno,Address for Aveeno,Description for Aveeno,1994,57
Aagam,Address for Aagam,Description for Aagam,1992,21
Galaxy,Address for Galaxy,Description for Galaxy,1965,50
Singh Styled,Address for Singh Styled,Description for Singh Styled,1919,70
Voila,Address for Voila,Description for Voila,1946,5
Mr. Makhana,Address for Mr. Makhana,Description for Mr. Makhana,1902,96
Seven,Address for Seven,Description for Seven,2011,87
Multix,Address for Multix,Description for Multix,1922,23
iD Fresho,Address for iD Fresho,Description for iD Fresho,1952,69
Karma Kettle,Address for Karma Kettle,Description for Karma Kettle,2020,70
Palmer's,Address for Palmer's,Description for Palmer's,1906,51
St. Dalfour,Address for St. Dalfour,Description for St. Dalfour,1996,43
Glucon-D,Address for Glucon-D,Description for Glucon-D,2011,36
Befikar,Address for Befikar,Description for Befikar,1982,7
Lifree,Address for Lifree,Description for Lifree,2008,7
ChefBoss,Address for ChefBoss,Description for ChefBoss,1915,20
SHAMROCK,Address for SHAMROCK,Description for SHAMROCK,2005,7
Jolly Rancher,Address for Jolly Rancher,Description for Jolly Rancher,1992,2
Florsafe +,Address for Florsafe +,Description for Florsafe +,1974,38
Globus,Address for Globus,Description for Globus,1912,46
Abbies,Address for Abbies,Description for Abbies,1949,97
Crystal,Address for Crystal,Description for Crystal,1979,27
Fresho Signature,Address for Fresho Signature,Description for Fresho Signature,1985,70
Home Puff,Address for Home Puff,Description for Home Puff,1967,21
Just Herbs,Address for Just Herbs,Description for Just Herbs,1901,24
Mystique,Address for Mystique,Description for Mystique,1982,80
Sanketi Adukale,Address for Sanketi Adukale,Description for Sanketi Adukale,1932,71
Smart Home,Address for Smart Home,Description for Smart Home,1998,94
Goli Soda,Address for Goli Soda,Description for Goli Soda,1972,6
Lindberg,Address for Lindberg,Description for Lindberg,1943,16
Milltec,Address for Milltec,Description for Milltec,1924,15
Fair & Lovely ,Address for Fair & Lovely ,Description for Fair & Lovely ,1961,13
Clinic Plus,Address for Clinic Plus,Description for Clinic Plus,1967,46
Aramusk,Address for Aramusk,Description for Aramusk,1935,84
Sri Sri Tattva,Address for Sri Sri Tattva,Description for Sri Sri Tattva,1950,31
Green apple,Address for Green apple,Description for Green apple,1916,34
Germisol,Address for Germisol,Description for Germisol,1976,9
Dr. Morepen,Address for Dr. Morepen,Description for Dr. Morepen,1934,70
Cocoland,Address for Cocoland,Description for Cocoland,1925,69
Vivel,Address for Vivel,Description for Vivel,1993,0
Mortein,Address for Mortein,Description for Mortein,2021,5
Munchilicious Granola ,Address for Munchilicious Granola ,Description for Munchilicious Granola ,1967,87
Tata Tea Chakra,Address for Tata Tea Chakra,Description for Tata Tea Chakra,1928,20
Jabson,Address for Jabson,Description for Jabson,2004,80
Himalaya Pet Care,Address for Himalaya Pet Care,Description for Himalaya Pet Care,1985,78
Nycil,Address for Nycil,Description for Nycil,1956,46
Iceland,Address for Iceland,Description for Iceland,1951,45
Lovely Bake Studio,Address for Lovely Bake Studio,Description for Lovely Bake Studio,1964,26
Morpheme,Address for Morpheme,Description for Morpheme,1960,31
Spray Lite,Address for Spray Lite,Description for Spray Lite,1928,65
Natures Plus,Address for Natures Plus,Description for Natures Plus,1902,83
