,brand,address,description,founding_year,num_of_products
1205,M&M's,"70086 Dyer Port Amyview, SC 94804",M&M's offers a range of products including International Chocolates. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.,2008,3
1206,MAGGI ,"94447 King Way Suite 127 Johnstonbury, LA 79113","MAGGI  offers a range of products including Blended Masalas, Breakfast & Snack Mixes, Cup Noodles, Imported Soups, Instant Noodles, Instant Pasta, Pasta & Macaroni, Soups, Tomato Ketchup & Sauces. Dive into our Foodgrains, Oil & Masala, Gourmet & World Food, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1937,33
1207,MCaffeine ,"752 Thompson Inlet Apt. 549 North Nicoleborough, KS 52758","MCaffeine  offers a range of products including Body Scrubs & Exfoliants, Face Care. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1962,2
1208,MG Polyplast,"61471 Soto Junctions Suite 969 Lewisview, ID 27570",MG Polyplast offers a range of products including Face Masks & Safety Gears. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.,1882,1
1209,MISHT,"994 Mccall Locks East Felicia, SC 93049","MISHT offers a range of products including Cookies, Fresh Sweets. Dive into our Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1888,2
1210,MOJO THINS,USCGC Bruce FPO AE 09558,"MOJO THINS offers a range of products including Luxury Chocolates, Gifts. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1936,4
1211,MOM,"496 Tina Station East Michaelview, GA 56571","MOM offers a range of products including Breakfast & Snack Mixes, Heat & Eat Ready Meals. Dive into our Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1827,10
1212,MOM Meal of the Moment,"46445 Jessica Crossing Apt. 428 Joycehaven, VI 46313",MOM Meal of the Moment offers a range of products including Heat & Eat Ready Meals. Dive into our Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.,1862,1
1213,MOOZ,"633 Jordan Forge Lewisfort, TX 23611","MOOZ offers a range of products including Cream & Cheese Spreads, International Cheese, Tofu. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1905,19
1214,MTR,Unit 2429 Box 4350 DPO AP 28261,"MTR offers a range of products including Blended Masalas, Breakfast & Snack Mixes, Chutney Powder, Cooking Pastes, Dessert Mixes, Flavoured, Soya Milk, Heat & Eat Ready Meals, Kids (5+Yrs), Lime & Mango Pickle, Other Veg Pickle, Pasta & Macaroni, Powdered Spices, Tinned, Packed Sweets, Vermicelli. Dive into our Bakery, Cakes & Dairy, Beverages, Foodgrains, Oil & Masala, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1834,100
1215,MTR FOODS,"719 Jeremy Divide Apt. 670 North Stephanieton, AL 76434","MTR FOODS offers a range of products including Toffee, Candy & Lollypop. Dive into our Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1997,1
1216,MVS,"3757 Campbell Locks Port Brandonstad, VI 82864",MVS offers a range of products including Dustbins. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.,1975,2
1217,Maaza,"82465 Phillips Village Suite 472 North Phillipland, KS 78884",Maaza offers a range of products including Juices. Dive into our Beverages offerings to find high-quality solutions tailored to your needs.,1950,3
1218,Macadamia,"961 Eric Freeway Apt. 357 East Michael, VT 66345",Macadamia offers a range of products including Hair Oil & Serum. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.,1833,2
1219,Macclite,"94218 Joyce Cliff Suite 823 Adamsmouth, DE 61396","Macclite offers a range of products including Cookware Sets. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",1904,1
1220,Mackays,"603 Cortez Avenue Apt. 178 West Alexis, GA 29933","Mackays offers a range of products including Jams, Marmalade, Spreads. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1945,12
1221,Madhur,"72308 Timothy Dale Apt. 110 South Danielle, AR 67275","Madhur offers a range of products including Cooking Pastes, Dips & Dressings, Mayonnaise, Sugar & Jaggery, Tomato Ketchup & Sauces. Dive into our Foodgrains, Oil & Masala, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1878,5
1222,Madilu,"18231 King Islands Apt. 091 Tylerborough, VI 39708","Madilu offers a range of products including Hair & Scalp Treatment, Quinoa & Grains, Supplements & Proteins. Dive into our Beauty & Hygiene, Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1831,3
1223,Magix,"30486 Morales Cove West Ronaldfort, NJ 28394","Magix offers a range of products including Brooms & Dust Pans, Hangers, Clips & Rope, Mops, Wipers, Toilet & Other Brushes. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.",1849,41
1224,Magnus,"771 Joseph Flat Port Holly, MN 62456","Magnus offers a range of products including Steel Lunch Boxes, Steel Storage Containers. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",1885,11
1225,Maharishi Ayurveda ,"80663 Lisa Land New Jillmouth, WI 60671","Maharishi Ayurveda  offers a range of products including Ayurveda, Bathing Bars & Soaps. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1922,15
1226,Mahaware,"580 Wells Path Apt. 671 Heathertown, VI 79842","Mahaware offers a range of products including Containers Sets. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",1961,5
1227,Makino,"8432 Anna Grove South Deborah, AK 50145","Makino offers a range of products including Healthy, Baked Snacks, Nachos & Chips. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1856,14
1228,Malabar Coast,"81038 Hunt Lake Apt. 672 South Haileystad, AK 09578","Malabar Coast offers a range of products including Flavoured & Other Oils, Herbs, Seasonings & Rubs, Whole Spices. Dive into our Foodgrains, Oil & Masala, Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1850,6
1229,Malkist,"75610 James Spring Suite 475 Lake Stacy, SD 93700","Malkist offers a range of products including Bakery Biscuits, Cookies, Crackers & Digestive. Dive into our Bakery, Cakes & Dairy, Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1969,6
1230,Maltova,"754 Chen Mall Adamschester, CA 18167",Maltova offers a range of products including Kids (5+Yrs). Dive into our Beverages offerings to find high-quality solutions tailored to your needs.,1973,1
1231,Malu Wilz,"7219 Dominique Throughway South Carolyn, MS 91734",Malu Wilz offers a range of products including Face Care. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.,1997,1
1232,Mama,"948 Morris Harbors Suite 369 Jacquelineberg, SD 75099","Mama offers a range of products including Imported Noodles, Jasmine & Sushi Rice. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",2018,7
1233,Mamaearth,"131 Clayton Point Apt. 356 Lake Williamburgh, ND 89061","Mamaearth offers a range of products including Baby Bath, Baby Creams & Lotions, Baby Health, Baby Laundry, Baby Oil & Shampoo, Baby Oral Care, Baby Powder, Baby Wipes, Body Care, Eye Care, Face Care, Hair & Scalp Treatment, Hair Oil & Serum, Insect Repellent, Mosquito Repellent, Shampoo & Conditioner. Dive into our Baby Care, Beauty & Hygiene, Cleaning & Household offerings to find high-quality solutions tailored to your needs.",1921,97
1234,Mambalam Iyers,"525 Diana Branch Aguirreview, FL 88103","Mambalam Iyers offers a range of products including Breakfast & Snack Mixes, Lime & Mango Pickle, Other Veg Pickle. Dive into our Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1865,6
1235,Mamy,"491 Santos Loop Suite 675 New Christopher, MS 94594","Mamy offers a range of products including Mustard & Cheese Sauces, Pastas & Spaghetti. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1968,2
1236,Mamypoko,"567 Rosales Parkway Apt. 671 Amandamouth, NY 02084","Mamypoko offers a range of products including Baby Wipes, Diapers. Dive into our Baby Care offerings to find high-quality solutions tailored to your needs.",1985,22
1237,Man Arden,"PSC 7103, Box 0422 APO AE 88366","Man Arden offers a range of products including Bath & Shower, Combos & Gift Sets, Face & Body, Hair & Scalp Treatment, Hair Care & Styling, Moustache & Beard Care, Shaving Care. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1911,40
1238,Mangajo,"147 Oscar Spur Apt. 338 South Lisa, KY 79660",Mangajo offers a range of products including Gourmet Tea & Tea Bags. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.,1861,2
1239,Mangalam,"572 Nathan Springs East Darlene, ID 07504",Mangalam offers a range of products including Camphor & Wicks. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.,1892,1
1240,Mangaldeep,"3417 Owens Manors Suite 348 South Jenniferchester, FL 69460","Mangaldeep offers a range of products including Agarbatti, Incense Sticks. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.",1934,11
1241,Manju,"PSC 4882, Box 3910 APO AA 96749",Manju offers a range of products including Insect Repellent. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.,1872,1
1242,Manju's,"35775 Williams Canyon Westborough, CA 18911",Manju's offers a range of products including Everyday Medicine. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.,1825,1
1243,Manna ,"7118 Hardy Mountain North Susanberg, WV 98431","Manna  offers a range of products including Atta Whole Wheat, Baby Food, Cereals & Millets, Heat & Eat Ready Meals, Kids (5+Yrs), Lime & Mango Pickle, Oats & Porridge, Rice & Other Flours, Urad & Other Dals, Vermicelli. Dive into our Baby Care, Beverages, Foodgrains, Oil & Masala, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1906,25
1244,Manna Go Grains,"0792 Tammy Alley Suite 934 Danielville, AR 49003",Manna Go Grains offers a range of products including Kids (5+Yrs). Dive into our Beverages offerings to find high-quality solutions tailored to your needs.,1837,1
1245,Mansaa,"451 Cheyenne Squares Apt. 977 Barkerview, MN 01759","Mansaa offers a range of products including CFL & Led Bulbs. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",1902,3
1246,Mantra,"38838 Petersen Isle East Andrew, VA 11999",Mantra offers a range of products including Roasted Seeds & Nuts. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.,1969,11
1247,Manya,"80103 Clark Lake Lake Joshua, KY 32189","Manya offers a range of products including Cookware Sets, Copper Utensils. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",2018,3
1248,Maped ,"476 David Shoals Josephside, ID 38698",Maped  offers a range of products including Games & Calculators. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.,2007,1
1249,Maple Joe,"483 Stone Ville Suite 800 New Thomas, KS 75475",Maple Joe offers a range of products including Honey & Maple Syrup. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.,1865,1
1250,Mapro,"858 Christopher Ways Apt. 309 North Williamburgh, OH 89007","Mapro offers a range of products including Syrups & Concentrates, Tomato Ketchup & Sauces. Dive into our Beverages, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1811,4
1251,Margo,"9205 John Views Apt. 920 New Johnton, TN 01901",Margo offers a range of products including Bathing Bars & Soaps. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.,1977,5
1252,Mars,"0910 John Lodge Port Nicolefurt, MN 79280",Mars offers a range of products including International Chocolates. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.,1963,1
1253,Marshmelts,"38450 Adam Springs West Jordanchester, GU 14476","Marshmelts offers a range of products including Marshmallow, Candy, Jelly. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1867,4
1254,Marudhar,"3679 Flynn Harbors South Lynnburgh, DE 86745","Marudhar offers a range of products including Marshmallow, Candy, Jelly, Mukhwas, Other Veg Pickle. Dive into our Foodgrains, Oil & Masala, Gourmet & World Food, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1960,31
1255,Maruti,USCGC Williamson FPO AA 49523,"Maruti offers a range of products including Hangers, Clips & Rope. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.",1951,2
1256,Maryaj,"425 Chelsea Hollow Apt. 695 Harrischester, FL 77443",Maryaj offers a range of products including Eau De Parfum. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.,1996,14
1257,Master,"53426 Harris Center Suite 120 Christophertown, IA 82433","Master offers a range of products including Choppers & Graters, Kadai & Fry Pans, Tawa & Sauce Pan. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",1835,5
1258,Mastercook,"9781 Reynolds Mall Barkershire, VI 64853","Mastercook offers a range of products including Containers Sets, Water & Fridge Bottles. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",1933,58
1259,Mathura,"7101 Amanda Flats Williamshire, CA 06845","Mathura offers a range of products including Blended Masalas, Boiled & Steam Rice. Dive into our Foodgrains, Oil & Masala offerings to find high-quality solutions tailored to your needs.",1913,2
1260,Matilde Vicenzi,"74641 Raymond Gardens Apt. 797 Port Taylorland, NC 63604","Matilde Vicenzi offers a range of products including Cookies, Biscotti, Wafer. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.",1973,3
1261,Matrix,"13702 Shannon Corner Jamesview, KS 94389","Matrix offers a range of products including Hair & Scalp Treatment, Shampoo & Conditioner. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1895,16
1262,Maverick & Farmer Coffee,"8031 Jamie Dale Suite 843 Traceyfurt, CT 37047",Maverick & Farmer Coffee offers a range of products including Coffee & Pre-Mix. Dive into our Gourmet & World Food offerings to find high-quality solutions tailored to your needs.,1947,6
1263,Max Health ,"305 Allen Forest Apt. 281 Davidton, IL 83641","Max Health  offers a range of products including Other Veg Pickle, Raw Rice, Thai & Asian Sauces. Dive into our Foodgrains, Oil & Masala, Gourmet & World Food, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1932,5
1264,Maxcare,"94622 Alyssa Rapid Bernardville, ME 97962","Maxcare offers a range of products including Other Edible Oils. Dive into our Foodgrains, Oil & Masala offerings to find high-quality solutions tailored to your needs.",1905,1
1265,Maxi,USNV Jackson FPO AA 14772,"Maxi offers a range of products including Body Sprays & Mists, Women's Deodorants. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1963,3
1266,Maxi Persian,"PSC 3608, Box 0672 APO AA 98651","Maxi Persian offers a range of products including Pet Meals & Treats. Dive into our Kitchen, Garden & Pets offerings to find high-quality solutions tailored to your needs.",2000,3
1267,Maxkleen,"368 Erin Wall New Richard, MA 43927","Maxkleen offers a range of products including Disinfectant Spray & Cleaners, Floor & Other Cleaners. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.",1826,5
1268,Maxo,"0052 Brenda Burg South Oliviaport, KY 46272",Maxo offers a range of products including Mosquito Repellent. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.,2004,3
1269,Maya,"93705 Calderon Via Suite 881 Carlsonbury, LA 17017","Maya offers a range of products including Agarbatti, Incense Sticks. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.",1979,2
1270,Maybelline New York,"PSC 1237, Box 5476 APO AP 54798","Maybelline New York offers a range of products including Eyes, Face, Lips. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1923,9
1271,Maylo,"57783 Brandon Mountains Suite 936 Penaburgh, WA 25262",Maylo offers a range of products including Toilet Paper. Dive into our Cleaning & Household offerings to find high-quality solutions tailored to your needs.,2018,1
1272,McCain,"16823 Nicholas Flats Port Davidshire, OK 91227",McCain offers a range of products including Frozen Veg Snacks. Dive into our Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.,1870,36
1273,Mcvities,"783 Gregory Pass North Amandaside, MT 41115","Mcvities offers a range of products including Cookies, Crackers & Digestive, Cream Biscuits & Wafers, Marie, Health, Digestive, Salted Biscuits. Dive into our Gourmet & World Food, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1825,26
1274,Mdh,"52234 Barnes Crescent Suite 565 East Emilyville, ID 28204","Mdh offers a range of products including Blended Masalas, Cereals & Millets, Powdered Spices, Whole Spices. Dive into our Foodgrains, Oil & Masala offerings to find high-quality solutions tailored to your needs.",1911,41
1275,Meatzza,"102 Taylor Viaduct Apt. 165 North Justin, IA 19180","Meatzza offers a range of products including Chicken Sausages, Frozen Mutton, Frozen Non-Veg Snacks. Dive into our Eggs, Meat & Fish, Snacks & Branded Foods offerings to find high-quality solutions tailored to your needs.",1912,20
1276,Mediker,"31517 Tracie Springs West Samantha, WV 08139","Mediker offers a range of products including Hair Oil & Serum, Hand Wash & Sanitizers, Shampoo & Conditioner. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1885,3
1277,Medimix,"35590 Marshall Landing Suite 780 Romanshire, SD 49461","Medimix offers a range of products including Bathing Bars & Soaps, Hand Wash & Sanitizers. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1903,13
1278,Mee Mee,"5747 Frank Squares New James, TN 58378","Mee Mee offers a range of products including Baby Bath, Baby Creams & Lotions, Baby Dishes & Utensils, Baby Health, Baby Laundry, Baby Oil & Shampoo, Baby Oral Care, Baby Powder, Baby Wipes, Bibs & Napkins, Diapers, Maternity Personal Care, Nappies & Rash Cream, Sippers & Bottles, Soothers & Teethers. Dive into our Baby Care offerings to find high-quality solutions tailored to your needs.",1803,41
1279,Meera,"0824 Brown Views North Pamelaborough, OH 34512","Meera offers a range of products including Hair Oil & Serum, Shampoo & Conditioner. Dive into our Beauty & Hygiene offerings to find high-quality solutions tailored to your needs.",1949,12
