brand,address,description,founding_year,num_of_products
24 Mantra,Address for 24 Mantra,Description for 24 Mantra,1992,18
Delight Foods,Address for Delight Foods,Description for Delight Foods,2001,7
Bagrrys,Address for Bagrrys,Description for Bagrrys,1995,49
Hugo Reitzel ,Address for Hugo Reitzel ,Description for Hugo Reitzel ,1973,22
Schar,Address for Schar,Description for Schar,1991,25
Ah!rogya Bar,Address for Ah!rogya Bar,Description for Ah!rogya Bar,1944,16
Wild Ideas,Address for Wild Ideas,Description for Wild Ideas,2015,36
MyGlamm,Address for MyGlamm,Description for MyGlamm,2013,87
Puramate,Address for Puramate,Description for Puramate,1903,48
Tetley,Address for Tetley,Description for Tetley,1991,4
Liao,Address for Liao,Description for Liao,1984,90
Habanero,Address for Habanero,Description for Habanero,2017,75
Himalayan Natives,Address for Himalayan Natives,Description for Himalayan Natives,1919,77
RiteBite Max Protein,Address for RiteBite Max Protein,Description for RiteBite Max Protein,1945,27
Jensons,Address for Jensons,Description for Jensons,1975,52
TrueNature,Address for TrueNature,Description for TrueNature,1980,78
Kamasutra,Address for Kamasutra,Description for Kamasutra,1935,33
Prestige,Address for Prestige,Description for Prestige,1957,58
Nutrinorm,Address for Nutrinorm,Description for Nutrinorm,2004,38
Makino,Address for Makino,Description for Makino,1956,60
Santoor,Address for Santoor,Description for Santoor,1938,48
Veet,Address for Veet,Description for Veet,1944,27
Milton,Address for Milton,Description for Milton,1940,21
Runaway,Address for Runaway,Description for Runaway,1972,26
Jergens,Address for Jergens,Description for Jergens,1955,33
Dukes,Address for Dukes,Description for Dukes,2016,50
Set Wet,Address for Set Wet,Description for Set Wet,1916,77
Daawat ,Address for Daawat ,Description for Daawat ,1922,88
Happy Jars,Address for Happy Jars,Description for Happy Jars,1922,13
Orika,Address for Orika,Description for Orika,1944,16
Joyo Steel,Address for Joyo Steel,Description for Joyo Steel,1936,58
Jiva Ayurveda,Address for Jiva Ayurveda,Description for Jiva Ayurveda,1999,65
B Vishal,Address for B Vishal,Description for B Vishal,1994,96
BIC Cello,Address for BIC Cello,Description for BIC Cello,1926,36
PureCult,Address for PureCult,Description for PureCult,1945,53
Morpheme Remedies,Address for Morpheme Remedies,Description for Morpheme Remedies,1942,8
Sln  ,Address for Sln  ,Description for Sln  ,1974,54
Dhatu Organics & Naturals,Address for Dhatu Organics & Naturals,Description for Dhatu Organics & Naturals,1929,75
Sensodyne,Address for Sensodyne,Description for Sensodyne,1906,78
Floroma,Address for Floroma,Description for Floroma,1942,45
Octus,Address for Octus,Description for Octus,1957,19
Turn Organic ,Address for Turn Organic ,Description for Turn Organic ,1979,74
Skinn by Titan,Address for Skinn by Titan,Description for Skinn by Titan,1977,32
By Nature,Address for By Nature,Description for By Nature,2006,45
Gits,Address for Gits,Description for Gits,1970,94
Ezy Be,Address for Ezy Be,Description for Ezy Be,1938,57
6 Rasa,Address for 6 Rasa,Description for 6 Rasa,2002,41
Yardley London,Address for Yardley London,Description for Yardley London,1975,30
ALPENLIEBE,Address for ALPENLIEBE,Description for ALPENLIEBE,1970,52
Mdh,Address for Mdh,Description for Mdh,1948,26
Herbal Essence,Address for Herbal Essence,Description for Herbal Essence,1902,94
JOYO,Address for JOYO,Description for JOYO,1971,52
Tai Hua,Address for Tai Hua,Description for Tai Hua,2021,93
Doms,Address for Doms,Description for Doms,1988,27
The Gourmet Jar,Address for The Gourmet Jar,Description for The Gourmet Jar,1965,19
Dabur,Address for Dabur,Description for Dabur,2000,22
Fortune ,Address for Fortune ,Description for Fortune ,1901,83
Nirvana,Address for Nirvana,Description for Nirvana,1961,59
Patanjali,Address for Patanjali,Description for Patanjali,1985,4
American Garden ,Address for American Garden ,Description for American Garden ,1977,46
Skore,Address for Skore,Description for Skore,1931,16
Lotus Herbals,Address for Lotus Herbals,Description for Lotus Herbals,1983,21
Pampers ,Address for Pampers ,Description for Pampers ,1951,82
Complan,Address for Complan,Description for Complan,2010,63
Munchys,Address for Munchys,Description for Munchys,2013,76
Dove,Address for Dove,Description for Dove,1925,27
Godrej,Address for Godrej,Description for Godrej,1902,59
Keya,Address for Keya,Description for Keya,2006,3
Soyfit,Address for Soyfit,Description for Soyfit,1907,26
Tong Garden,Address for Tong Garden,Description for Tong Garden,1909,41
Dr Rhazes,Address for Dr Rhazes,Description for Dr Rhazes,1982,94
Prasukh,Address for Prasukh,Description for Prasukh,1959,7
Double Horse,Address for Double Horse,Description for Double Horse,1916,84
Eastern,Address for Eastern,Description for Eastern,2021,58
Epigamia ,Address for Epigamia ,Description for Epigamia ,1971,73
Jeva,Address for Jeva,Description for Jeva,1909,61
Toska Chocolates,Address for Toska Chocolates,Description for Toska Chocolates,2016,92
Bechef,Address for Bechef,Description for Bechef,1961,2
Anmara,Address for Anmara,Description for Anmara,1966,46
KOKOLEKA,Address for KOKOLEKA,Description for KOKOLEKA,1923,72
Casasunco,Address for Casasunco,Description for Casasunco,1928,98
Pigeon,Address for Pigeon,Description for Pigeon,1954,73
Gupta Glass Ideas,Address for Gupta Glass Ideas,Description for Gupta Glass Ideas,2016,1
SSS,Address for SSS,Description for SSS,1928,36
Harveys,Address for Harveys,Description for Harveys,1939,32
Pidilite,Address for Pidilite,Description for Pidilite,1904,99
Jacques Bogart,Address for Jacques Bogart,Description for Jacques Bogart,2015,60
Layerr,Address for Layerr,Description for Layerr,1901,38
FNS,Address for FNS,Description for FNS,2011,55
Gala,Address for Gala,Description for Gala,1994,66
Paseo,Address for Paseo,Description for Paseo,1907,37
Listerine,Address for Listerine,Description for Listerine,1981,94
Tata Tea,Address for Tata Tea,Description for Tata Tea,1986,26
Namyaa,Address for Namyaa,Description for Namyaa,2000,57
LOreal Professionnel,Address for LOreal Professionnel,Description for LOreal Professionnel,1923,99
Pedigree,Address for Pedigree,Description for Pedigree,1988,43
Sofit ,Address for Sofit ,Description for Sofit ,1943,50
Milky Mist,Address for Milky Mist,Description for Milky Mist,1952,23
Tabasco,Address for Tabasco,Description for Tabasco,1962,45
MeraKisan,Address for MeraKisan,Description for MeraKisan,1962,45
Kitchens Of India,Address for Kitchens Of India,Description for Kitchens Of India,1960,60
Farm Connect,Address for Farm Connect,Description for Farm Connect,1999,35
Ratan,Address for Ratan,Description for Ratan,2003,34
Madhur,Address for Madhur,Description for Madhur,1960,37
Glade,Address for Glade,Description for Glade,1985,31
TJORI,Address for TJORI,Description for TJORI,2009,44
Teamonk,Address for Teamonk,Description for Teamonk,1996,51
Reliance,Address for Reliance,Description for Reliance,2000,90
Tabac,Address for Tabac,Description for Tabac,1980,37
All Time,Address for All Time,Description for All Time,1928,75
Manna ,Address for Manna ,Description for Manna ,1943,71
Purix,Address for Purix,Description for Purix,1900,52
Excel Plus,Address for Excel Plus,Description for Excel Plus,1932,90
Craftel,Address for Craftel,Description for Craftel,1905,63
As Chefs Cook,Address for As Chefs Cook,Description for As Chefs Cook,1948,98
Kittos,Address for Kittos,Description for Kittos,1940,92
Top Ramen ,Address for Top Ramen ,Description for Top Ramen ,1907,45
Blue Dragon,Address for Blue Dragon,Description for Blue Dragon,2011,70
Wow Confetti,Address for Wow Confetti,Description for Wow Confetti,1911,34
Future Organics,Address for Future Organics,Description for Future Organics,1999,73
Bikaji,Address for Bikaji,Description for Bikaji,1938,84
Fackelmann,Address for Fackelmann,Description for Fackelmann,1979,70
BB Home,Address for BB Home,Description for BB Home,1923,72
Moov,Address for Moov,Description for Moov,1974,16
Pasabahce,Address for Pasabahce,Description for Pasabahce,1908,0
Pigeon Baby,Address for Pigeon Baby,Description for Pigeon Baby,2007,71
Nestle ,Address for Nestle ,Description for Nestle ,1912,86
MISHT,Address for MISHT,Description for MISHT,1926,52
Kuxuna,Address for Kuxuna,Description for Kuxuna,1911,15
Weikfield,Address for Weikfield,Description for Weikfield,1928,65
Everyuth Naturals,Address for Everyuth Naturals,Description for Everyuth Naturals,1920,61
Doublemint,Address for Doublemint,Description for Doublemint,2008,33
Suvidha,Address for Suvidha,Description for Suvidha,2019,22
A-1 Chips,Address for A-1 Chips,Description for A-1 Chips,1972,90
Too Yumm!,Address for Too Yumm!,Description for Too Yumm!,1907,30
Wild Stone,Address for Wild Stone,Description for Wild Stone,2018,15
Mambalam Iyers,Address for Mambalam Iyers,Description for Mambalam Iyers,1986,83
ST. D'VENCE,Address for ST. D'VENCE,Description for ST. D'VENCE,1912,2
Super Saver,Address for Super Saver,Description for Super Saver,1955,86
Earthon,Address for Earthon,Description for Earthon,1963,41
Samyang,Address for Samyang,Description for Samyang,1932,91
Valley Spice,Address for Valley Spice,Description for Valley Spice,2011,81
Softouch,Address for Softouch,Description for Softouch,1996,83
Iyengar Spices & Food Specialists ,Address for Iyengar Spices & Food Specialists ,Description for Iyengar Spices & Food Specialists ,1986,82
Nissin,Address for Nissin,Description for Nissin,1962,72
Heritage,Address for Heritage,Description for Heritage,1986,4
Dabur Meswak,Address for Dabur Meswak,Description for Dabur Meswak,1978,48
Closeup,Address for Closeup,Description for Closeup,1987,1
Schwarzkopf,Address for Schwarzkopf,Description for Schwarzkopf,1994,7
Kapiva Ayurveda,Address for Kapiva Ayurveda,Description for Kapiva Ayurveda,1940,87
Johnson's baby,Address for Johnson's baby,Description for Johnson's baby,1984,45
It's Skin,Address for It's Skin,Description for It's Skin,1949,27
sumeru,Address for sumeru,Description for sumeru,2013,90
Comfort,Address for Comfort,Description for Comfort,1930,1
Garden,Address for Garden,Description for Garden,1933,3
Veeba,Address for Veeba,Description for Veeba,1948,94
Reliance Plast,Address for Reliance Plast,Description for Reliance Plast,1900,65
Richfeel,Address for Richfeel,Description for Richfeel,2019,50
Nirlon,Address for Nirlon,Description for Nirlon,1920,50
T BASE,Address for T BASE,Description for T BASE,1994,67
Skin Cottage ,Address for Skin Cottage ,Description for Skin Cottage ,1933,45
Idhayam,Address for Idhayam,Description for Idhayam,1985,84
Axe,Address for Axe,Description for Axe,2020,13
Milton - Spotzero,Address for Milton - Spotzero,Description for Milton - Spotzero,2005,91
Maple Joe,Address for Maple Joe,Description for Maple Joe,1979,88
Dexolac,Address for Dexolac,Description for Dexolac,2016,3
Krosno - Europe,Address for Krosno - Europe,Description for Krosno - Europe,1907,80
Soulfit,Address for Soulfit,Description for Soulfit,1903,90
Kiwi,Address for Kiwi,Description for Kiwi,1957,47
Laplast,Address for Laplast,Description for Laplast,1968,26
Iveo ,Address for Iveo ,Description for Iveo ,1938,74
Sprig Tea,Address for Sprig Tea,Description for Sprig Tea,1921,74
Atish ,Address for Atish ,Description for Atish ,1900,73
Airific,Address for Airific,Description for Airific,1943,18
Unibic,Address for Unibic,Description for Unibic,1907,87
Batter Box,Address for Batter Box,Description for Batter Box,1974,88
Gebi ,Address for Gebi ,Description for Gebi ,1914,31
Knorr,Address for Knorr,Description for Knorr,1988,2
Himalaya Baby,Address for Himalaya Baby,Description for Himalaya Baby,1953,77
USTRAA,Address for USTRAA,Description for USTRAA,1937,58
MAGGI ,Address for MAGGI ,Description for MAGGI ,2002,85
Badshah,Address for Badshah,Description for Badshah,1948,50
Samvuddhi & Co,Address for Samvuddhi & Co,Description for Samvuddhi & Co,2021,69
Whisper ,Address for Whisper ,Description for Whisper ,1945,28
Brylcreem,Address for Brylcreem,Description for Brylcreem,1999,47
Green Leaf,Address for Green Leaf,Description for Green Leaf,2011,49
Kantan,Address for Kantan,Description for Kantan,1991,9
BodyHerbals,Address for BodyHerbals,Description for BodyHerbals,1995,89
Lomani,Address for Lomani,Description for Lomani,1986,77
Ariel ,Address for Ariel ,Description for Ariel ,1946,83
Raju's Cloth,Address for Raju's Cloth,Description for Raju's Cloth,1906,94
Cambay Tiger,Address for Cambay Tiger,Description for Cambay Tiger,1900,85
Sprig,Address for Sprig,Description for Sprig,1945,43
Health Sutra,Address for Health Sutra,Description for Health Sutra,1979,22
DrNatcure,Address for DrNatcure,Description for DrNatcure,1976,31
Glamveda,Address for Glamveda,Description for Glamveda,2007,91
Pietro Coricelli,Address for Pietro Coricelli,Description for Pietro Coricelli,1970,0
C&S Electric,Address for C&S Electric,Description for C&S Electric,1967,70
Nutty Yogi,Address for Nutty Yogi,Description for Nutty Yogi,1942,29
Beeta,Address for Beeta,Description for Beeta,2019,15
Ajmal,Address for Ajmal,Description for Ajmal,1989,20
Dorall Collection,Address for Dorall Collection,Description for Dorall Collection,1926,44
Kelloggs,Address for Kelloggs,Description for Kelloggs,1927,32
PIPO,Address for PIPO,Description for PIPO,1938,8
All Out,Address for All Out,Description for All Out,1940,72
Maxkleen,Address for Maxkleen,Description for Maxkleen,1936,48
Smith & Jones,Address for Smith & Jones,Description for Smith & Jones,1973,25
Colavita,Address for Colavita,Description for Colavita,1947,88
G.D ,Address for G.D ,Description for G.D ,1995,74
Olivia,Address for Olivia,Description for Olivia,2005,94
Peebuddy,Address for Peebuddy,Description for Peebuddy,1991,39
Signoraware,Address for Signoraware,Description for Signoraware,1930,47
Good Home,Address for Good Home,Description for Good Home,1929,29
Remia,Address for Remia,Description for Remia,1913,12
Laopala Diva,Address for Laopala Diva,Description for Laopala Diva,1919,16
Loreal Paris,Address for Loreal Paris,Description for Loreal Paris,2021,93
Early Foods,Address for Early Foods,Description for Early Foods,1941,5
Enfamil A+,Address for Enfamil A+,Description for Enfamil A+,1908,56
Britannia,Address for Britannia,Description for Britannia,1979,49
Malabar Coast,Address for Malabar Coast,Description for Malabar Coast,1950,90
Ego of Paris,Address for Ego of Paris,Description for Ego of Paris,1939,32
Cartini,Address for Cartini,Description for Cartini,1968,62
Ponds,Address for Ponds,Description for Ponds,2021,83
Jus Amazin,Address for Jus Amazin,Description for Jus Amazin,1999,2
Air wick,Address for Air wick,Description for Air wick,2017,30
BHealthy,Address for BHealthy,Description for BHealthy,2016,25
ITC Master Chef,Address for ITC Master Chef,Description for ITC Master Chef,1985,54
Malkist,Address for Malkist,Description for Malkist,1992,76
York,Address for York,Description for York,1917,10
Klassic,Address for Klassic,Description for Klassic,1963,59
Phalada Pure & Sure,Address for Phalada Pure & Sure,Description for Phalada Pure & Sure,1904,34
Hersheys ,Address for Hersheys ,Description for Hersheys ,1914,63
Haldirams ,Address for Haldirams ,Description for Haldirams ,1981,32
Lacto Calamine,Address for Lacto Calamine,Description for Lacto Calamine,1987,8
Shahnaz Husain,Address for Shahnaz Husain,Description for Shahnaz Husain,1904,29
ORGANIC INDIA,Address for ORGANIC INDIA,Description for ORGANIC INDIA,1996,35
NanoNine,Address for NanoNine,Description for NanoNine,1946,85
HAZEL,Address for HAZEL,Description for HAZEL,1925,88
Pintola,Address for Pintola,Description for Pintola,2017,33
ColorBar,Address for ColorBar,Description for ColorBar,1903,77
SSK,Address for SSK,Description for SSK,1990,22
Lotus Professional,Address for Lotus Professional,Description for Lotus Professional,1966,30
Shunya,Address for Shunya,Description for Shunya,1965,21
kwality walls,Address for kwality walls,Description for kwality walls,2000,76
Gou Ganga,Address for Gou Ganga,Description for Gou Ganga,2016,65
Natureland Organics,Address for Natureland Organics,Description for Natureland Organics,1902,48
Ask Foods,Address for Ask Foods,Description for Ask Foods,1980,70
Roopak,Address for Roopak,Description for Roopak,1961,49
Blue Elephant,Address for Blue Elephant,Description for Blue Elephant,1963,90
Skittles,Address for Skittles,Description for Skittles,1987,12
Unroll,Address for Unroll,Description for Unroll,1907,0
Palmolive,Address for Palmolive,Description for Palmolive,1903,60
18 Herbs,Address for 18 Herbs,Description for 18 Herbs,1963,85
Henko,Address for Henko,Description for Henko,1934,15
Sebamed,Address for Sebamed,Description for Sebamed,1951,16
Sugarless Bliss,Address for Sugarless Bliss,Description for Sugarless Bliss,1980,6
Bon & Bread,Address for Bon & Bread,Description for Bon & Bread,1974,78
Safewash,Address for Safewash,Description for Safewash,1957,8
Exo,Address for Exo,Description for Exo,1978,67
LaOpala,Address for LaOpala,Description for LaOpala,2018,18
Ketofy,Address for Ketofy,Description for Ketofy,1934,99
Varam,Address for Varam,Description for Varam,1997,61
Fogg ,Address for Fogg ,Description for Fogg ,1948,42
Organic Origins,Address for Organic Origins,Description for Organic Origins,1920,78
Mcvities,Address for Mcvities,Description for Mcvities,1961,52
Pass Pass,Address for Pass Pass,Description for Pass Pass,1922,16
Samudra,Address for Samudra,Description for Samudra,1929,81
Go Desi,Address for Go Desi,Description for Go Desi,1925,57
